2023-12-12 15:03:10 {"sensorData":"55","sensorId":"lpgOrj","timestamp":"2023-12-12T10:54:49.440Z"}
2023-12-12 15:03:10 {"sensorData":"2","sensorId":"mNEtlU","timestamp":"2023-12-12T10:54:49.491Z"}
2023-12-12 15:03:10 {"sensorData":"80","sensorId":"ZZhgBZ","timestamp":"2023-12-12T10:54:49.542Z"}
2023-12-12 15:03:10 {"sensorData":"49","sensorId":"uVzLwk","timestamp":"2023-12-12T10:54:49.592Z"}
2023-12-12 15:03:10 {"sensorData":"5","sensorId":"izktMq","timestamp":"2023-12-12T10:54:49.642Z"}
2023-12-12 15:03:10 {"sensorData":"69","sensorId":"4ywgbY","timestamp":"2023-12-12T10:54:49.693Z"}
2023-12-12 15:03:11 {"sensorData":"30","sensorId":"nI4aw9","timestamp":"2023-12-12T10:54:49.743Z"}
2023-12-12 15:03:11 {"sensorData":"80","sensorId":"XWPfFc","timestamp":"2023-12-12T10:54:49.793Z"}
2023-12-12 15:03:11 {"sensorData":"1","sensorId":"0my8LG","timestamp":"2023-12-12T10:54:49.843Z"}
2023-12-12 15:03:11 {"sensorData":"61","sensorId":"oVigjC","timestamp":"2023-12-12T10:54:49.894Z"}
2023-12-12 15:03:11 {"sensorData":"44","sensorId":"krGvXy","timestamp":"2023-12-12T10:54:49.944Z"}
2023-12-12 15:03:11 {"sensorData":"73","sensorId":"jvz4id","timestamp":"2023-12-12T10:54:49.995Z"}
2023-12-12 15:03:11 {"sensorData":"18","sensorId":"LfPBqb","timestamp":"2023-12-12T10:54:50.045Z"}
2023-12-12 15:03:11 {"sensorData":"27","sensorId":"1HMdsV","timestamp":"2023-12-12T10:54:50.095Z"}
2023-12-12 15:03:11 {"sensorData":"19","sensorId":"BnuKCY","timestamp":"2023-12-12T10:54:50.146Z"}
2023-12-12 15:03:11 {"sensorData":"43","sensorId":"qnpxIM","timestamp":"2023-12-12T10:54:50.196Z"}
2023-12-12 15:03:12 {"sensorData":"52","sensorId":"QPoqT1","timestamp":"2023-12-12T10:54:50.247Z"}
2023-12-12 15:03:12 {"sensorData":"1","sensorId":"92fYzR","timestamp":"2023-12-12T10:54:50.297Z"}
2023-12-12 15:03:12 {"sensorData":"50","sensorId":"QCbfOt","timestamp":"2023-12-12T10:54:50.348Z"}
2023-12-12 15:03:12 {"sensorData":"25","sensorId":"giJutW","timestamp":"2023-12-12T10:54:50.398Z"}
