mysql> SELECT * FROM record WHERE sensordata < 10;
+----------+------------+----------+---------------------+
| recordID | sensorData | sensorID | timestamp           |
+----------+------------+----------+---------------------+
|        2 |          1 | 0my8LG   | 2023-12-12 10:54:50 |
|       11 |          1 | 92fYzR   | 2023-12-12 10:54:50 |
|       49 |          9 | czPCJe   | 2023-12-12 10:54:52 |
|       54 |          5 | wjQhMI   | 2023-12-12 10:54:52 |
|       67 |          2 | yT6CcH   | 2023-12-12 10:54:53 |
|       87 |          0 | Oh2dWD   | 2023-12-12 10:54:54 |
|       88 |          5 | EOOcZZ   | 2023-12-12 10:54:54 |
|      121 |          4 | 3oPc5U   | 2023-12-12 10:54:56 |
|      131 |          5 | bKyQz2   | 2023-12-12 10:54:56 |
|      139 |          1 | YYqX3D   | 2023-12-12 10:54:57 |
|      152 |          5 | M2QWUq   | 2023-12-12 10:54:57 |
|      158 |          8 | ChbfIR   | 2023-12-12 10:54:58 |
|      173 |          7 | UJydUl   | 2023-12-12 10:54:58 |
|      180 |          9 | C94YVg   | 2023-12-12 10:54:59 |
|      184 |          4 | ustWsm   | 2023-12-12 10:54:59 |
|      188 |          8 | yRpQ7G   | 2023-12-12 10:54:59 |
|      190 |          7 | XKfLO9   | 2023-12-12 10:54:59 |
|      197 |          2 | YU8n2R   | 2023-12-12 10:55:00 |
|      200 |          5 | EmRsVE   | 2023-12-12 10:55:00 |
|      237 |          7 | AV2XkA   | 2023-12-12 10:55:02 |
|      240 |          3 | mngMN0   | 2023-12-12 10:55:02 |
|      243 |          5 | YB26o9   | 2023-12-12 10:55:02 |
|      248 |          6 | RxwTfD   | 2023-12-12 10:55:02 |
|      254 |          2 | 1wyp79   | 2023-12-12 10:55:03 |
|      302 |          0 | sw3E0x   | 2023-12-12 10:55:05 |
|      330 |          7 | CQTIQv   | 2023-12-12 10:55:06 |
|      341 |          0 | tNbU7Z   | 2023-12-12 10:55:07 |
|      346 |          2 | Q1Y2JJ   | 2023-12-12 10:55:07 |
|      354 |          7 | J6vm6I   | 2023-12-12 10:55:08 |
|      356 |          0 | MmhvNZ   | 2023-12-12 10:55:08 |
|      358 |          2 | P7xo1T   | 2023-12-12 10:55:08 |
|      371 |          9 | rKQ5Wp   | 2023-12-12 10:55:08 |
|      399 |          6 | uXsUik   | 2023-12-12 10:55:10 |
|      404 |          7 | 3x0Pq0   | 2023-12-12 10:55:10 |
|      409 |          7 | Gm8fxD   | 2023-12-12 10:55:10 |
|      413 |          5 | fWIL8F   | 2023-12-12 10:55:11 |
|      423 |          4 | qvtQrQ   | 2023-12-12 10:55:11 |
|      438 |          7 | l9DZJq   | 2023-12-12 10:55:12 |
|      446 |          2 | navGeE   | 2023-12-12 10:55:12 |
|      451 |          0 | jinrnH   | 2023-12-12 10:55:12 |
|      459 |          7 | Yd6t0O   | 2023-12-12 10:55:13 |
|      493 |          2 | hzh1ZP   | 2023-12-12 10:55:15 |
|      502 |          8 | rs8FQD   | 2023-12-12 10:55:15 |
|      507 |          6 | z3eT0N   | 2023-12-12 10:55:15 |
|      509 |          3 | YwxSgD   | 2023-12-12 10:55:15 |
|      524 |          9 | kncKgG   | 2023-12-12 10:55:16 |
|      529 |          9 | OPOftH   | 2023-12-12 10:55:16 |
|      532 |          0 | jbQ5yX   | 2023-12-12 10:55:17 |
|      536 |          8 | 6yadxP   | 2023-12-12 10:55:17 |
|      551 |          0 | 6Fv39j   | 2023-12-12 10:55:18 |
|      557 |          9 | qEuv0p   | 2023-12-12 10:55:18 |
|      595 |          7 | XkM8RQ   | 2023-12-12 10:55:20 |
|      596 |          7 | m2Ne0D   | 2023-12-12 10:55:20 |
|      607 |          5 | 1zfDLU   | 2023-12-12 10:55:20 |
|      611 |          9 | poigNn   | 2023-12-12 10:55:21 |
|      616 |          7 | LREWNC   | 2023-12-12 10:55:21 |
|      618 |          2 | vVRe7P   | 2023-12-12 10:55:21 |
|      622 |          2 | zpTTaA   | 2023-12-12 10:55:21 |
|      624 |          7 | Ik6iTQ   | 2023-12-12 10:55:21 |
|      631 |          0 | LbhEVh   | 2023-12-12 10:55:22 |
|      654 |          5 | bS5VDd   | 2023-12-12 10:55:23 |
|      676 |          7 | Dwsnfj   | 2023-12-12 10:55:24 |
|      713 |          9 | zxLvkD   | 2023-12-12 10:55:26 |
|      732 |          7 | oU2Nz1   | 2023-12-12 10:55:27 |
|      741 |          0 | auewCv   | 2023-12-12 10:55:27 |
|      758 |          8 | Fx6bkj   | 2023-12-12 10:55:28 |
|      774 |          1 | q0IiIk   | 2023-12-12 10:55:29 |
|      793 |          1 | xUuudf   | 2023-12-12 10:55:30 |
|      815 |          6 | pympw2   | 2023-12-12 10:55:31 |
|      818 |          3 | v7r4oO   | 2023-12-12 10:55:31 |
|      825 |          5 | J2Je2w   | 2023-12-12 10:55:31 |
|      827 |          9 | 426cW7   | 2023-12-12 10:55:31 |
|      842 |          7 | dkacxI   | 2023-12-12 10:55:32 |
|      849 |          2 | ESM2Mn   | 2023-12-12 10:55:33 |
|      855 |          9 | UjXxQK   | 2023-12-12 10:55:33 |
|      857 |          3 | QRnNK7   | 2023-12-12 10:55:33 |
|      864 |          6 | f0sgJ1   | 2023-12-12 10:55:33 |
|      875 |          6 | 7NXupN   | 2023-12-12 10:55:34 |
|      898 |          4 | 6KdEJX   | 2023-12-12 10:55:35 |
|      944 |          3 | UtDmOD   | 2023-12-12 10:55:37 |
|      947 |          7 | ne7d9B   | 2023-12-12 10:55:38 |
|      951 |          8 | 2A5eE0   | 2023-12-12 10:55:38 |
|      959 |          3 | q8cKgA   | 2023-12-12 10:55:38 |
|      972 |          6 | 8GJaqv   | 2023-12-12 10:55:39 |
|      977 |          1 | e5aMOX   | 2023-12-12 10:55:39 |
|      982 |          5 | QJ8mcE   | 2023-12-12 10:55:39 |
|      983 |          3 | BO0yws   | 2023-12-12 10:55:39 |
|     1023 |          8 | kmJpFL   | 2023-12-12 10:55:41 |
|     1035 |          2 | dD8CTs   | 2023-12-12 10:55:42 |
|     1050 |          2 | OsMRIO   | 2023-12-12 10:55:43 |
|     1052 |          3 | B3lHBV   | 2023-12-12 10:55:43 |
|     1068 |          9 | Sp9sNC   | 2023-12-12 10:55:44 |
|     1075 |          5 | GihUa7   | 2023-12-12 10:55:44 |
|     1088 |          7 | wc1xoY   | 2023-12-12 10:55:45 |
|     1090 |          6 | EIu2Ky   | 2023-12-12 10:55:45 |
|     1096 |          3 | 6f4QRr   | 2023-12-12 10:55:45 |
|     1100 |          5 | 5QoZTh   | 2023-12-12 10:55:45 |
|     1101 |          9 | AynTYw   | 2023-12-12 10:55:45 |
|     1108 |          4 | aNzzom   | 2023-12-12 10:55:46 |
|     1110 |          8 | Xw7gK9   | 2023-12-12 10:55:46 |
|     1145 |          0 | P7bXcT   | 2023-12-12 10:55:47 |
|     1162 |          6 | UHR7lC   | 2023-12-12 10:55:48 |
|     1177 |          4 | SQ6j2I   | 2023-12-12 10:55:49 |
|     1180 |          6 | QWJkCq   | 2023-12-12 10:55:49 |
|     1181 |          1 | ESdmz9   | 2023-12-12 10:55:49 |
|     1183 |          8 | pV1CRI   | 2023-12-12 10:55:49 |
|     1193 |          9 | WJ3O9n   | 2023-12-12 10:55:50 |
|     1197 |          6 | dyHX6A   | 2023-12-12 10:55:50 |
|     1212 |          3 | OSkE8a   | 2023-12-12 10:55:51 |
|     1223 |          6 | 3Sd6bZ   | 2023-12-12 10:55:51 |
|     1236 |          9 | Q7OwI4   | 2023-12-12 10:55:52 |
|     1242 |          5 | YQ8gZY   | 2023-12-12 10:55:52 |
|     1252 |          1 | nWIiM7   | 2023-12-12 10:55:53 |
|     1254 |          5 | 5b2LYe   | 2023-12-12 10:55:53 |
|     1255 |          6 | mSX1To   | 2023-12-12 10:55:53 |
|     1261 |          9 | d6AV4a   | 2023-12-12 10:55:53 |
|     1264 |          0 | DAtKcQ   | 2023-12-12 10:55:53 |
|     1271 |          6 | 6uRmQm   | 2023-12-12 10:55:54 |
|     1272 |          5 | AmqonP   | 2023-12-12 10:55:54 |
|     1276 |          5 | TsSjE9   | 2023-12-12 10:55:54 |
|     1282 |          8 | R2bE86   | 2023-12-12 10:55:54 |
|     1288 |          0 | rzutbk   | 2023-12-12 10:55:55 |
|     1298 |          3 | 5cmFrU   | 2023-12-12 10:55:55 |
|     1302 |          0 | ELozLy   | 2023-12-12 10:55:55 |
|     1306 |          4 | 1xkv6y   | 2023-12-12 10:55:56 |
|     1313 |          6 | CcrHR8   | 2023-12-12 10:55:56 |
