2023-12-12 12:56:54 {"sensorData": "7","sensorId": "9kuZGY","timestamp": "2023-12-12T11:56:54.022Z"}
2023-12-12 12:56:54 {"sensorData": "82","sensorId": "Tnzbye","timestamp": "2023-12-12T11:56:54.049Z"}
2023-12-12 12:56:54 {"sensorData": "99","sensorId": "GBOlSH","timestamp": "2023-12-12T11:56:54.074Z"}
2023-12-12 12:56:54 {"sensorData": "63","sensorId": "xDvPYG","timestamp": "2023-12-12T11:56:54.100Z"}
2023-12-12 12:56:54 {"sensorData": "31","sensorId": "LniJwB","timestamp": "2023-12-12T11:56:54.125Z"}
2023-12-12 12:56:54 {"sensorData": "74","sensorId": "0peJCB","timestamp": "2023-12-12T11:56:54.151Z"}
2023-12-12 12:56:54 {"sensorData": "93","sensorId": "0DWu5A","timestamp": "2023-12-12T11:56:54.176Z"}
2023-12-12 12:56:54 {"sensorData": "92","sensorId": "L5l6wF","timestamp": "2023-12-12T11:56:54.202Z"}
2023-12-12 12:56:54 {"sensorData": "69","sensorId": "kbXUm3","timestamp": "2023-12-12T11:56:54.227Z"}
2023-12-12 12:56:54 {"sensorData": "5","sensorId": "GuRwJU","timestamp": "2023-12-12T11:56:54.252Z"}
2023-12-12 12:56:54 {"sensorData": "66","sensorId": "9lDZPn","timestamp": "2023-12-12T11:56:54.278Z"}
2023-12-12 12:56:54 {"sensorData": "48","sensorId": "IOOhJX","timestamp": "2023-12-12T11:56:54.303Z"}
2023-12-12 12:56:54 {"sensorData": "15","sensorId": "6sNerA","timestamp": "2023-12-12T11:56:54.328Z"}
2023-12-12 12:56:54 {"sensorData": "56","sensorId": "Ctf8OV","timestamp": "2023-12-12T11:56:54.353Z"}
2023-12-12 12:56:54 {"sensorData": "23","sensorId": "lDnlMO","timestamp": "2023-12-12T11:56:54.379Z"}
2023-12-12 12:56:54 {"sensorData": "40","sensorId": "r1gXFS","timestamp": "2023-12-12T11:56:54.404Z"}
2023-12-12 12:56:54 {"sensorData": "8","sensorId": "dG67WJ","timestamp": "2023-12-12T11:56:54.429Z"}
2023-12-12 12:56:54 {"sensorData": "1","sensorId": "c9YEq1","timestamp": "2023-12-12T11:56:54.454Z"}
2023-12-12 12:56:54 {"sensorData": "46","sensorId": "4KVgd8","timestamp": "2023-12-12T11:56:54.479Z"}
2023-12-12 12:56:54 {"sensorData": "41","sensorId": "QKn5Cu","timestamp": "2023-12-12T11:56:54.505Z"}
2023-12-12 12:56:54 {"sensorData": "15","sensorId": "7cJ8GD","timestamp": "2023-12-12T11:56:54.530Z"}
2023-12-12 12:56:54 {"sensorData": "69","sensorId": "tc5v9T","timestamp": "2023-12-12T11:56:54.556Z"}
2023-12-12 12:56:54 {"sensorData": "57","sensorId": "qInih7","timestamp": "2023-12-12T11:56:54.581Z"}
2023-12-12 12:56:54 {"sensorData": "0","sensorId": "i3BWEP","timestamp": "2023-12-12T11:56:54.606Z"}
2023-12-12 12:56:54 {"sensorData": "10","sensorId": "67x194","timestamp": "2023-12-12T11:56:54.631Z"}
2023-12-12 12:56:54 {"sensorData": "20","sensorId": "GyVXyQ","timestamp": "2023-12-12T11:56:54.657Z"}
2023-12-12 12:56:54 {"sensorData": "38","sensorId": "yx1M4e","timestamp": "2023-12-12T11:56:54.682Z"}
2023-12-12 12:56:54 {"sensorData": "48","sensorId": "bb5h5u","timestamp": "2023-12-12T11:56:54.707Z"}
2023-12-12 12:56:54 {"sensorData": "0","sensorId": "x9Kt65","timestamp": "2023-12-12T11:56:54.733Z"}
2023-12-12 12:56:54 {"sensorData": "16","sensorId": "4Z8ynS","timestamp": "2023-12-12T11:56:54.758Z"}
2023-12-12 12:56:54 {"sensorData": "13","sensorId": "Kyp6Ug","timestamp": "2023-12-12T11:56:54.783Z"}
2023-12-12 12:56:54 {"sensorData": "28","sensorId": "MkoNkj","timestamp": "2023-12-12T11:56:54.809Z"}
2023-12-12 12:56:54 {"sensorData": "22","sensorId": "dEMABm","timestamp": "2023-12-12T11:56:54.834Z"}
2023-12-12 12:56:54 {"sensorData": "73","sensorId": "wfZq5Y","timestamp": "2023-12-12T11:56:54.860Z"}
2023-12-12 12:56:54 {"sensorData": "94","sensorId": "gGXQ2c","timestamp": "2023-12-12T11:56:54.886Z"}
2023-12-12 12:56:54 {"sensorData": "2","sensorId": "Miioqv","timestamp": "2023-12-12T11:56:54.911Z"}
2023-12-12 12:56:54 {"sensorData": "9","sensorId": "AEIB6i","timestamp": "2023-12-12T11:56:54.937Z"}
2023-12-12 12:56:54 {"sensorData": "67","sensorId": "wtISyy","timestamp": "2023-12-12T11:56:54.962Z"}
2023-12-12 12:56:54 {"sensorData": "60","sensorId": "tkKyQx","timestamp": "2023-12-12T11:56:54.988Z"}
2023-12-12 12:56:55 {"sensorData": "66","sensorId": "IxNjFT","timestamp": "2023-12-12T11:56:55.013Z"}
2023-12-12 12:56:55 {"sensorData": "65","sensorId": "TejiHP","timestamp": "2023-12-12T11:56:55.039Z"}
2023-12-12 12:56:55 {"sensorData": "79","sensorId": "BVzXe5","timestamp": "2023-12-12T11:56:55.064Z"}
2023-12-12 12:56:55 {"sensorData": "67","sensorId": "DtzUB7","timestamp": "2023-12-12T11:56:55.090Z"}
2023-12-12 12:56:55 {"sensorData": "32","sensorId": "hujOPW","timestamp": "2023-12-12T11:56:55.115Z"}
2023-12-12 12:56:55 {"sensorData": "21","sensorId": "iFe2Il","timestamp": "2023-12-12T11:56:55.140Z"}
2023-12-12 12:56:55 {"sensorData": "36","sensorId": "fYHGK6","timestamp": "2023-12-12T11:56:55.166Z"}
2023-12-12 12:56:55 {"sensorData": "22","sensorId": "O2Thjj","timestamp": "2023-12-12T11:56:55.191Z"}
2023-12-12 12:56:55 {"sensorData": "34","sensorId": "Lg6Qzf","timestamp": "2023-12-12T11:56:55.216Z"}
2023-12-12 12:56:55 {"sensorData": "34","sensorId": "e1dnvg","timestamp": "2023-12-12T11:56:55.242Z"}
2023-12-12 12:56:55 {"sensorData": "19","sensorId": "3rb6gI","timestamp": "2023-12-12T11:56:55.267Z"}
2023-12-12 12:56:55 {"sensorData": "96","sensorId": "OFSsxC","timestamp": "2023-12-12T11:56:55.293Z"}
2023-12-12 12:56:55 {"sensorData": "42","sensorId": "EJofNk","timestamp": "2023-12-12T11:56:55.318Z"}
2023-12-12 12:56:55 {"sensorData": "98","sensorId": "aocdfe","timestamp": "2023-12-12T11:56:55.344Z"}
2023-12-12 12:56:55 {"sensorData": "62","sensorId": "ykrpzs","timestamp": "2023-12-12T11:56:55.369Z"}
2023-12-12 12:56:55 {"sensorData": "61","sensorId": "D0Mhts","timestamp": "2023-12-12T11:56:55.395Z"}
2023-12-12 12:56:55 {"sensorData": "52","sensorId": "OSWjr8","timestamp": "2023-12-12T11:56:55.420Z"}
2023-12-12 12:56:55 {"sensorData": "0","sensorId": "3g63u9","timestamp": "2023-12-12T11:56:55.446Z"}
2023-12-12 12:56:55 {"sensorData": "64","sensorId": "ydkWlz","timestamp": "2023-12-12T11:56:55.471Z"}
2023-12-12 12:56:55 {"sensorData": "34","sensorId": "KRlcGX","timestamp": "2023-12-12T11:56:55.497Z"}
2023-12-12 12:56:55 {"sensorData": "3","sensorId": "ZeFEWr","timestamp": "2023-12-12T11:56:55.522Z"}
2023-12-12 12:56:55 {"sensorData": "65","sensorId": "cnX5uU","timestamp": "2023-12-12T11:56:55.547Z"}
2023-12-12 12:56:55 {"sensorData": "58","sensorId": "ORRaUZ","timestamp": "2023-12-12T11:56:55.573Z"}
2023-12-12 12:56:55 {"sensorData": "35","sensorId": "3pXB48","timestamp": "2023-12-12T11:56:55.598Z"}
2023-12-12 12:56:55 {"sensorData": "53","sensorId": "AULqYg","timestamp": "2023-12-12T11:56:55.624Z"}
2023-12-12 12:56:55 {"sensorData": "68","sensorId": "KwtMJg","timestamp": "2023-12-12T11:56:55.649Z"}
2023-12-12 12:56:55 {"sensorData": "99","sensorId": "30qGH7","timestamp": "2023-12-12T11:56:55.674Z"}
2023-12-12 12:56:55 {"sensorData": "92","sensorId": "pWribe","timestamp": "2023-12-12T11:56:55.700Z"}
2023-12-12 12:56:55 {"sensorData": "16","sensorId": "6bbuVK","timestamp": "2023-12-12T11:56:55.725Z"}
2023-12-12 12:56:55 {"sensorData": "34","sensorId": "JRqhdJ","timestamp": "2023-12-12T11:56:55.751Z"}
2023-12-12 12:56:55 {"sensorData": "40","sensorId": "MOnEEB","timestamp": "2023-12-12T11:56:55.776Z"}
2023-12-12 12:56:55 {"sensorData": "26","sensorId": "ayCnjU","timestamp": "2023-12-12T11:56:55.802Z"}
2023-12-12 12:56:55 {"sensorData": "92","sensorId": "iW2cV3","timestamp": "2023-12-12T11:56:55.827Z"}
2023-12-12 12:56:55 {"sensorData": "87","sensorId": "GC5djk","timestamp": "2023-12-12T11:56:55.853Z"}
2023-12-12 12:56:55 {"sensorData": "83","sensorId": "kR3Uve","timestamp": "2023-12-12T11:56:55.878Z"}
2023-12-12 12:56:55 {"sensorData": "46","sensorId": "YGkY2N","timestamp": "2023-12-12T11:56:55.904Z"}
2023-12-12 12:56:55 {"sensorData": "21","sensorId": "bvvifn","timestamp": "2023-12-12T11:56:55.929Z"}
2023-12-12 12:56:55 {"sensorData": "60","sensorId": "1fFvHz","timestamp": "2023-12-12T11:56:55.954Z"}
2023-12-12 12:56:55 {"sensorData": "35","sensorId": "OHKYoD","timestamp": "2023-12-12T11:56:55.980Z"}
2023-12-12 12:56:56 {"sensorData": "0","sensorId": "KFVw93","timestamp": "2023-12-12T11:56:56.005Z"}
2023-12-12 12:56:56 {"sensorData": "96","sensorId": "2Ej1ZD","timestamp": "2023-12-12T11:56:56.031Z"}
2023-12-12 12:56:56 {"sensorData": "77","sensorId": "3OiUTL","timestamp": "2023-12-12T11:56:56.056Z"}
2023-12-12 12:56:56 {"sensorData": "51","sensorId": "oaC0Hc","timestamp": "2023-12-12T11:56:56.082Z"}
2023-12-12 12:56:56 {"sensorData": "82","sensorId": "UDls94","timestamp": "2023-12-12T11:56:56.107Z"}
2023-12-12 12:56:56 {"sensorData": "6","sensorId": "8XYYs5","timestamp": "2023-12-12T11:56:56.132Z"}
2023-12-12 12:56:56 {"sensorData": "28","sensorId": "fyN6dT","timestamp": "2023-12-12T11:56:56.157Z"}
2023-12-12 12:56:56 {"sensorData": "32","sensorId": "UvS7tk","timestamp": "2023-12-12T11:56:56.183Z"}
2023-12-12 12:56:56 {"sensorData": "17","sensorId": "1nAJOL","timestamp": "2023-12-12T11:56:56.208Z"}
2023-12-12 12:56:56 {"sensorData": "69","sensorId": "LDFIor","timestamp": "2023-12-12T11:56:56.233Z"}
2023-12-12 12:56:56 {"sensorData": "40","sensorId": "GmaKJM","timestamp": "2023-12-12T11:56:56.258Z"}
2023-12-12 12:56:56 {"sensorData": "60","sensorId": "KvjuO1","timestamp": "2023-12-12T11:56:56.284Z"}
2023-12-12 12:56:56 {"sensorData": "85","sensorId": "8bdXmB","timestamp": "2023-12-12T11:56:56.309Z"}
2023-12-12 12:56:56 {"sensorData": "64","sensorId": "1anADS","timestamp": "2023-12-12T11:56:56.334Z"}
2023-12-12 12:56:56 {"sensorData": "90","sensorId": "R9tmjr","timestamp": "2023-12-12T11:56:56.360Z"}
2023-12-12 12:56:56 {"sensorData": "66","sensorId": "S3osnx","timestamp": "2023-12-12T11:56:56.385Z"}
2023-12-12 12:56:56 {"sensorData": "91","sensorId": "1o0Zq1","timestamp": "2023-12-12T11:56:56.410Z"}
2023-12-12 12:56:56 {"sensorData": "24","sensorId": "Cs6rsj","timestamp": "2023-12-12T11:56:56.436Z"}
2023-12-12 12:56:56 {"sensorData": "86","sensorId": "TZQBW9","timestamp": "2023-12-12T11:56:56.461Z"}
2023-12-12 12:56:56 {"sensorData": "53","sensorId": "4pvKiJ","timestamp": "2023-12-12T11:56:56.486Z"}
2023-12-12 12:56:56 {"sensorData": "23","sensorId": "t5Cljq","timestamp": "2023-12-12T11:56:56.512Z"}
2023-12-12 12:56:56 {"sensorData": "32","sensorId": "zgJ0wF","timestamp": "2023-12-12T11:56:56.537Z"}
2023-12-12 12:56:56 {"sensorData": "9","sensorId": "PNZwCE","timestamp": "2023-12-12T11:56:56.563Z"}
2023-12-12 12:56:56 {"sensorData": "29","sensorId": "nBwhQR","timestamp": "2023-12-12T11:56:56.588Z"}
2023-12-12 12:56:56 {"sensorData": "23","sensorId": "XpIgk8","timestamp": "2023-12-12T11:56:56.614Z"}
2023-12-12 12:56:56 {"sensorData": "39","sensorId": "tpoRvX","timestamp": "2023-12-12T11:56:56.639Z"}
2023-12-12 12:56:56 {"sensorData": "83","sensorId": "RqMu3A","timestamp": "2023-12-12T11:56:56.665Z"}
2023-12-12 12:56:56 {"sensorData": "27","sensorId": "u2CHtX","timestamp": "2023-12-12T11:56:56.690Z"}
2023-12-12 12:56:56 {"sensorData": "52","sensorId": "aEtVR2","timestamp": "2023-12-12T11:56:56.715Z"}
2023-12-12 12:56:56 {"sensorData": "91","sensorId": "Z0jhdv","timestamp": "2023-12-12T11:56:56.741Z"}
2023-12-12 12:56:56 {"sensorData": "28","sensorId": "yirey1","timestamp": "2023-12-12T11:56:56.766Z"}
2023-12-12 12:56:56 {"sensorData": "18","sensorId": "qpbKhC","timestamp": "2023-12-12T11:56:56.792Z"}
2023-12-12 12:56:56 {"sensorData": "59","sensorId": "BpTzRc","timestamp": "2023-12-12T11:56:56.817Z"}
2023-12-12 12:56:56 {"sensorData": "86","sensorId": "x29mTi","timestamp": "2023-12-12T11:56:56.843Z"}
2023-12-12 12:56:56 {"sensorData": "13","sensorId": "WBfjJw","timestamp": "2023-12-12T11:56:56.868Z"}
2023-12-12 12:56:56 {"sensorData": "19","sensorId": "6mHmBH","timestamp": "2023-12-12T11:56:56.893Z"}
2023-12-12 12:56:56 {"sensorData": "28","sensorId": "J71akI","timestamp": "2023-12-12T11:56:56.919Z"}
2023-12-12 12:56:56 {"sensorData": "23","sensorId": "ZKFmDE","timestamp": "2023-12-12T11:56:56.944Z"}
2023-12-12 12:56:56 {"sensorData": "65","sensorId": "kLQ6cW","timestamp": "2023-12-12T11:56:56.970Z"}
