mysql> SELECT * FROM record;
+----------+------------+----------+---------------------+
| recordID | sensorData | sensorID | timestamp           |
+----------+------------+----------+---------------------+
|        1 |          1 | c9YEq1   | 2023-12-12 11:56:54 |
|        2 |         46 | 4KVgd8   | 2023-12-12 11:56:54 |
|        3 |         41 | QKn5Cu   | 2023-12-12 11:56:55 |
|        4 |         15 | 7cJ8GD   | 2023-12-12 11:56:55 |
|        5 |         69 | tc5v9T   | 2023-12-12 11:56:55 |
|        6 |         57 | qInih7   | 2023-12-12 11:56:55 |
|        7 |          0 | i3BWEP   | 2023-12-12 11:56:55 |
|        8 |         10 | 67x194   | 2023-12-12 11:56:55 |
|        9 |         20 | GyVXyQ   | 2023-12-12 11:56:55 |
|       10 |         38 | yx1M4e   | 2023-12-12 11:56:55 |
|       11 |         48 | bb5h5u   | 2023-12-12 11:56:55 |
|       12 |          0 | x9Kt65   | 2023-12-12 11:56:55 |
|       13 |         16 | 4Z8ynS   | 2023-12-12 11:56:55 |
|       14 |         13 | Kyp6Ug   | 2023-12-12 11:56:55 |
|       15 |         28 | MkoNkj   | 2023-12-12 11:56:55 |
|       16 |         22 | dEMABm   | 2023-12-12 11:56:55 |
|       17 |         73 | wfZq5Y   | 2023-12-12 11:56:55 |
|       18 |         94 | gGXQ2c   | 2023-12-12 11:56:55 |
|       19 |          2 | Miioqv   | 2023-12-12 11:56:55 |
|       20 |          9 | AEIB6i   | 2023-12-12 11:56:55 |
|       21 |         67 | wtISyy   | 2023-12-12 11:56:55 |
|       22 |         60 | tkKyQx   | 2023-12-12 11:56:55 |
|       23 |         66 | IxNjFT   | 2023-12-12 11:56:55 |
|       24 |         65 | TejiHP   | 2023-12-12 11:56:55 |
|       25 |         79 | BVzXe5   | 2023-12-12 11:56:55 |
|       26 |         67 | DtzUB7   | 2023-12-12 11:56:55 |
|       27 |         32 | hujOPW   | 2023-12-12 11:56:55 |
|       28 |         21 | iFe2Il   | 2023-12-12 11:56:55 |
|       29 |         36 | fYHGK6   | 2023-12-12 11:56:55 |
|       30 |         22 | O2Thjj   | 2023-12-12 11:56:55 |
|       31 |         34 | Lg6Qzf   | 2023-12-12 11:56:55 |
|       32 |         34 | e1dnvg   | 2023-12-12 11:56:55 |
|       33 |         19 | 3rb6gI   | 2023-12-12 11:56:55 |
|       34 |         96 | OFSsxC   | 2023-12-12 11:56:55 |
|       35 |         42 | EJofNk   | 2023-12-12 11:56:55 |
|       36 |         98 | aocdfe   | 2023-12-12 11:56:55 |
|       37 |         62 | ykrpzs   | 2023-12-12 11:56:55 |
|       38 |         61 | D0Mhts   | 2023-12-12 11:56:55 |
|       39 |         52 | OSWjr8   | 2023-12-12 11:56:55 |
|       40 |          0 | 3g63u9   | 2023-12-12 11:56:55 |
|       41 |         64 | ydkWlz   | 2023-12-12 11:56:55 |
|       42 |         34 | KRlcGX   | 2023-12-12 11:56:55 |
|       43 |          3 | ZeFEWr   | 2023-12-12 11:56:56 |
|       44 |         65 | cnX5uU   | 2023-12-12 11:56:56 |
|       45 |         58 | ORRaUZ   | 2023-12-12 11:56:56 |
|       46 |         35 | 3pXB48   | 2023-12-12 11:56:56 |
|       47 |         53 | AULqYg   | 2023-12-12 11:56:56 |
|       48 |         68 | KwtMJg   | 2023-12-12 11:56:56 |
|       49 |         99 | 30qGH7   | 2023-12-12 11:56:56 |
|       50 |         92 | pWribe   | 2023-12-12 11:56:56 |
|       51 |         16 | 6bbuVK   | 2023-12-12 11:56:56 |
|       52 |         34 | JRqhdJ   | 2023-12-12 11:56:56 |
|       53 |         40 | MOnEEB   | 2023-12-12 11:56:56 |
|       54 |         26 | ayCnjU   | 2023-12-12 11:56:56 |
|       55 |         92 | iW2cV3   | 2023-12-12 11:56:56 |
|       56 |         87 | GC5djk   | 2023-12-12 11:56:56 |
|       57 |         83 | kR3Uve   | 2023-12-12 11:56:56 |
|       58 |         46 | YGkY2N   | 2023-12-12 11:56:56 |
|       59 |         21 | bvvifn   | 2023-12-12 11:56:56 |
|       60 |         60 | 1fFvHz   | 2023-12-12 11:56:56 |
|       61 |         35 | OHKYoD   | 2023-12-12 11:56:56 |
|       62 |          0 | KFVw93   | 2023-12-12 11:56:56 |
|       63 |         96 | 2Ej1ZD   | 2023-12-12 11:56:56 |
|       64 |         77 | 3OiUTL   | 2023-12-12 11:56:56 |
|       65 |         51 | oaC0Hc   | 2023-12-12 11:56:56 |
|       66 |         82 | UDls94   | 2023-12-12 11:56:56 |
|       67 |          6 | 8XYYs5   | 2023-12-12 11:56:56 |
|       68 |         28 | fyN6dT   | 2023-12-12 11:56:56 |
|       69 |         32 | UvS7tk   | 2023-12-12 11:56:56 |
|       70 |         17 | 1nAJOL   | 2023-12-12 11:56:56 |
|       71 |         69 | LDFIor   | 2023-12-12 11:56:56 |
|       72 |         40 | GmaKJM   | 2023-12-12 11:56:56 |
|       73 |         60 | KvjuO1   | 2023-12-12 11:56:56 |
|       74 |         85 | 8bdXmB   | 2023-12-12 11:56:56 |
|       75 |         64 | 1anADS   | 2023-12-12 11:56:56 |
|       76 |         90 | R9tmjr   | 2023-12-12 11:56:56 |
|       77 |         66 | S3osnx   | 2023-12-12 11:56:56 |
|       78 |         91 | 1o0Zq1   | 2023-12-12 11:56:56 |
|       79 |         24 | Cs6rsj   | 2023-12-12 11:56:56 |
|       80 |         86 | TZQBW9   | 2023-12-12 11:56:56 |
|       81 |         53 | 4pvKiJ   | 2023-12-12 11:56:56 |
|       82 |         23 | t5Cljq   | 2023-12-12 11:56:57 |
|       83 |         32 | zgJ0wF   | 2023-12-12 11:56:57 |
|       84 |          9 | PNZwCE   | 2023-12-12 11:56:57 |
|       85 |         29 | nBwhQR   | 2023-12-12 11:56:57 |
|       86 |         23 | XpIgk8   | 2023-12-12 11:56:57 |
|       87 |         39 | tpoRvX   | 2023-12-12 11:56:57 |
|       88 |         83 | RqMu3A   | 2023-12-12 11:56:57 |
|       89 |         27 | u2CHtX   | 2023-12-12 11:56:57 |
|       90 |         52 | aEtVR2   | 2023-12-12 11:56:57 |
|       91 |         91 | Z0jhdv   | 2023-12-12 11:56:57 |
|       92 |         28 | yirey1   | 2023-12-12 11:56:57 |
|       93 |         18 | qpbKhC   | 2023-12-12 11:56:57 |
|       94 |         59 | BpTzRc   | 2023-12-12 11:56:57 |
|       95 |         86 | x29mTi   | 2023-12-12 11:56:57 |
|       96 |         13 | WBfjJw   | 2023-12-12 11:56:57 |
|       97 |         19 | 6mHmBH   | 2023-12-12 11:56:57 |
|       98 |         28 | J71akI   | 2023-12-12 11:56:57 |
|       99 |         23 | ZKFmDE   | 2023-12-12 11:56:57 |
|      100 |         65 | kLQ6cW   | 2023-12-12 11:56:57 |
|      101 |          7 | KgoGsU   | 2023-12-12 11:56:57 |
|      102 |         42 | UrCtmr   | 2023-12-12 11:56:57 |
|      103 |         45 | wZMlzh   | 2023-12-12 11:56:57 |
|      104 |         10 | 0LVakz   | 2023-12-12 11:56:57 |
|      105 |         97 | nl8Xqn   | 2023-12-12 11:56:57 |
|      106 |         55 | I59skz   | 2023-12-12 11:56:57 |
|      107 |         25 | wQYQFA   | 2023-12-12 11:56:57 |
|      108 |         53 | 2HlTh4   | 2023-12-12 11:56:57 |
|      109 |         95 | puKCFJ   | 2023-12-12 11:56:57 |
|      110 |          9 | TUEsNB   | 2023-12-12 11:56:57 |
|      111 |         44 | X0gjG4   | 2023-12-12 11:56:57 |
|      112 |         63 | 9vO200   | 2023-12-12 11:56:57 |
|      113 |         29 | 5UoleZ   | 2023-12-12 11:56:57 |
|      114 |         13 | IwZret   | 2023-12-12 11:56:57 |
|      115 |         25 | RVeEJk   | 2023-12-12 11:56:57 |
|      116 |          5 | geAfxe   | 2023-12-12 11:56:57 |
|      117 |         15 | m2EfNT   | 2023-12-12 11:56:57 |
|      118 |         42 | PI0l2P   | 2023-12-12 11:56:57 |
|      119 |         53 | 668NPc   | 2023-12-12 11:56:57 |
|      120 |         85 | pkStpi   | 2023-12-12 11:56:57 |
|      121 |         48 | KksUdU   | 2023-12-12 11:56:58 |
|      122 |         14 | ODet94   | 2023-12-12 11:56:58 |
|      123 |         53 | 1H4VE2   | 2023-12-12 11:56:58 |
|      124 |         76 | h3Dwdj   | 2023-12-12 11:56:58 |
|      125 |         77 | qraZAq   | 2023-12-12 11:56:58 |
|      126 |         45 | BazfCE   | 2023-12-12 11:56:58 |
|      127 |         44 | zwZp4T   | 2023-12-12 11:56:58 |
|      128 |         72 | wKxDBY   | 2023-12-12 11:56:58 |
|      129 |         62 | E8zTnx   | 2023-12-12 11:56:58 |
|      130 |         72 | NNheMF   | 2023-12-12 11:56:58 |
|      131 |          7 | c9EBtr   | 2023-12-12 11:56:58 |
|      132 |         76 | l9PHHa   | 2023-12-12 11:56:58 |
|      133 |         87 | 8YVAWk   | 2023-12-12 11:56:58 |
|      134 |         77 | 8GRJjX   | 2023-12-12 11:56:58 |
|      135 |         84 | TsTVpl   | 2023-12-12 11:56:58 |
|      136 |         67 | IBZUAC   | 2023-12-12 11:56:58 |
|      137 |         39 | 7Cm3p5   | 2023-12-12 11:56:58 |
|      138 |         29 | 9eD7Ki   | 2023-12-12 11:56:58 |
|      139 |         13 | R5jBn0   | 2023-12-12 11:56:58 |
|      140 |         60 | Ccv9Dj   | 2023-12-12 11:56:58 |
|      141 |         15 | 3L6Ych   | 2023-12-12 11:56:58 |
|      142 |         47 | pc8oez   | 2023-12-12 11:56:58 |
|      143 |         50 | OIPuBY   | 2023-12-12 11:56:58 |
|      144 |         65 | NO5dOp   | 2023-12-12 11:56:58 |
|      145 |         34 | hyT87O   | 2023-12-12 11:56:58 |
|      146 |         10 | 7TzmTy   | 2023-12-12 11:56:58 |
|      147 |         49 | YXJAto   | 2023-12-12 11:56:58 |
|      148 |         46 | VaDwMz   | 2023-12-12 11:56:58 |
|      149 |         31 | rMCy8l   | 2023-12-12 11:56:58 |
|      150 |         89 | 3Xf1GF   | 2023-12-12 11:56:58 |
|      151 |         93 | q1AeO7   | 2023-12-12 11:56:58 |
|      152 |         28 | 6jnPhQ   | 2023-12-12 11:56:58 |
|      153 |         55 | UdAbN2   | 2023-12-12 11:56:58 |
|      154 |         15 | LcSFXY   | 2023-12-12 11:56:58 |
|      155 |         72 | urvIiU   | 2023-12-12 11:56:58 |
|      156 |         78 | URcQZp   | 2023-12-12 11:56:58 |
|      157 |         41 | 64wQ5V   | 2023-12-12 11:56:58 |
|      158 |         65 | JLdiNV   | 2023-12-12 11:56:58 |
|      159 |         17 | zH5TYr   | 2023-12-12 11:56:58 |
|      160 |         61 | 691RQ1   | 2023-12-12 11:56:58 |
|      161 |         53 | DfRA9b   | 2023-12-12 11:56:59 |
|      162 |         34 | 2UUzwV   | 2023-12-12 11:56:59 |
|      163 |         28 | 7Ehwcd   | 2023-12-12 11:56:59 |
|      164 |          7 | YsuTrj   | 2023-12-12 11:56:59 |
|      165 |         56 | 5bTzgy   | 2023-12-12 11:56:59 |
|      166 |         67 | dy13iJ   | 2023-12-12 11:56:59 |
|      167 |         97 | EuZCX6   | 2023-12-12 11:56:59 |
|      168 |         22 | Z72Lpm   | 2023-12-12 11:56:59 |
|      169 |         36 | GuSAtC   | 2023-12-12 11:56:59 |
|      170 |         25 | zYMAmB   | 2023-12-12 11:56:59 |
|      171 |         19 | v9KXrx   | 2023-12-12 11:56:59 |
|      172 |         83 | esc1p4   | 2023-12-12 11:56:59 |
|      173 |         15 | DeX7yE   | 2023-12-12 11:56:59 |
|      174 |         71 | P6mcSW   | 2023-12-12 11:56:59 |
|      175 |         72 | 5mUols   | 2023-12-12 11:56:59 |
|      176 |         69 | AQrF8t   | 2023-12-12 11:56:59 |
|      177 |         52 | nlXQpJ   | 2023-12-12 11:56:59 |
|      178 |         38 | Md9r9m   | 2023-12-12 11:56:59 |
