mysql> SELECT * FROM record WHERE sensorData < 10;
+----------+------------+----------+---------------------+
| recordID | sensorData | sensorID | timestamp           |
+----------+------------+----------+---------------------+
|        1 |          1 | c9YEq1   | 2023-12-12 11:56:54 |
|        7 |          0 | i3BWEP   | 2023-12-12 11:56:55 |
|       12 |          0 | x9Kt65   | 2023-12-12 11:56:55 |
|       19 |          2 | Miioqv   | 2023-12-12 11:56:55 |
|       20 |          9 | AEIB6i   | 2023-12-12 11:56:55 |
|       40 |          0 | 3g63u9   | 2023-12-12 11:56:55 |
|       43 |          3 | ZeFEWr   | 2023-12-12 11:56:56 |
|       62 |          0 | KFVw93   | 2023-12-12 11:56:56 |
|       67 |          6 | 8XYYs5   | 2023-12-12 11:56:56 |
|       84 |          9 | PNZwCE   | 2023-12-12 11:56:57 |
|      101 |          7 | KgoGsU   | 2023-12-12 11:56:57 |
|      110 |          9 | TUEsNB   | 2023-12-12 11:56:57 |
|      116 |          5 | geAfxe   | 2023-12-12 11:56:57 |
|      131 |          7 | c9EBtr   | 2023-12-12 11:56:58 |
|      164 |          7 | YsuTrj   | 2023-12-12 11:56:59 |
|      179 |          8 | R6UKgE   | 2023-12-12 11:56:59 |
|      187 |          1 | DnBrnz   | 2023-12-12 11:56:59 |
|      191 |          0 | Cum6HN   | 2023-12-12 11:56:59 |
|      193 |          7 | qDCxZ0   | 2023-12-12 11:56:59 |
|      208 |          5 | Bcbvk0   | 2023-12-12 11:57:00 |
|      215 |          9 | xw1YFg   | 2023-12-12 11:57:00 |
|      218 |          6 | B37noj   | 2023-12-12 11:57:00 |
|      219 |          2 | cgzxCo   | 2023-12-12 11:57:00 |
|      234 |          7 | aVgQlj   | 2023-12-12 11:57:00 |
|      238 |          1 | E1BEMF   | 2023-12-12 11:57:00 |
|      249 |          2 | dP3zUI   | 2023-12-12 11:57:01 |
|      263 |          7 | xrQ1Yu   | 2023-12-12 11:57:01 |
|      284 |          4 | UN4kg6   | 2023-12-12 11:57:02 |
|      285 |          3 | 3FWU6n   | 2023-12-12 11:57:02 |
|      302 |          4 | mopeh5   | 2023-12-12 11:57:02 |
|      328 |          2 | APk2d9   | 2023-12-12 11:57:03 |
|      341 |          3 | iOM7Q2   | 2023-12-12 11:57:03 |
|      345 |          1 | OdEWRh   | 2023-12-12 11:57:03 |
|      346 |          7 | v7o37Y   | 2023-12-12 11:57:03 |
|      361 |          3 | vON032   | 2023-12-12 11:57:04 |
|      362 |          0 | QHdxCl   | 2023-12-12 11:57:04 |
|      370 |          2 | TcPU91   | 2023-12-12 11:57:04 |
|      379 |          4 | dDb6cl   | 2023-12-12 11:57:04 |
|      405 |          3 | GX0et2   | 2023-12-12 11:57:05 |
|      414 |          2 | WrlgHA   | 2023-12-12 11:57:05 |
|      418 |          6 | u4zejI   | 2023-12-12 11:57:05 |
|      425 |          8 | 3z86ZX   | 2023-12-12 11:57:05 |
|      441 |          9 | nCh34w   | 2023-12-12 11:57:06 |
|      446 |          2 | HoSLLB   | 2023-12-12 11:57:06 |
|      457 |          7 | XNxgld   | 2023-12-12 11:57:06 |
|      461 |          4 | 6upR5L   | 2023-12-12 11:57:06 |
|      470 |          7 | 6da7cT   | 2023-12-12 11:57:06 |
|      475 |          1 | yzBauU   | 2023-12-12 11:57:07 |
|      480 |          4 | HylDoS   | 2023-12-12 11:57:07 |
|      484 |          9 | xIf34q   | 2023-12-12 11:57:07 |
|      507 |          1 | 8HEraS   | 2023-12-12 11:57:07 |
|      523 |          6 | zf5Xam   | 2023-12-12 11:57:08 |
|      525 |          0 | Eb4JZc   | 2023-12-12 11:57:08 |
|      530 |          0 | pJODSr   | 2023-12-12 11:57:08 |
|      545 |          8 | yedHzj   | 2023-12-12 11:57:08 |
|      554 |          2 | ZAtHW6   | 2023-12-12 11:57:09 |
|      557 |          9 | GSPJ6R   | 2023-12-12 11:57:09 |
|      563 |          9 | pXBtdg   | 2023-12-12 11:57:09 |
|      564 |          2 | Xk9ogQ   | 2023-12-12 11:57:09 |
|      566 |          4 | 6pOdra   | 2023-12-12 11:57:09 |
|      574 |          4 | bWyPzg   | 2023-12-12 11:57:09 |
|      590 |          8 | y2Gq9P   | 2023-12-12 11:57:09 |
|      601 |          7 | h0fKRj   | 2023-12-12 11:57:10 |
|      603 |          8 | 53GKhl   | 2023-12-12 11:57:10 |
|      616 |          8 | psTBaJ   | 2023-12-12 11:57:10 |
|      617 |          6 | ubISuE   | 2023-12-12 11:57:10 |
|      624 |          2 | ieUaOe   | 2023-12-12 11:57:10 |
|      636 |          6 | 0rjLAj   | 2023-12-12 11:57:11 |
|      653 |          0 | Nao7nb   | 2023-12-12 11:57:11 |
|      654 |          5 | xjNbnr   | 2023-12-12 11:57:11 |
|      655 |          6 | Dvfau5   | 2023-12-12 11:57:11 |
|      657 |          2 | xMw8MK   | 2023-12-12 11:57:11 |
|      659 |          2 | 6lKzGQ   | 2023-12-12 11:57:11 |
|      664 |          4 | F22szl   | 2023-12-12 11:57:11 |
|      674 |          4 | vrOAjV   | 2023-12-12 11:57:12 |
|      706 |          1 | imgaRZ   | 2023-12-12 11:57:12 |
|      732 |          1 | ziXk2T   | 2023-12-12 11:57:13 |
|      739 |          4 | OYofBK   | 2023-12-12 11:57:13 |
|      740 |          0 | I9GQ2S   | 2023-12-12 11:57:13 |
|      751 |          5 | ZRZeJp   | 2023-12-12 11:57:14 |
|      762 |          7 | kR8fg0   | 2023-12-12 11:57:14 |
|      772 |          3 | b6QGoG   | 2023-12-12 11:57:14 |
|      773 |          9 | nvtos7   | 2023-12-12 11:57:14 |
|      774 |          9 | db12JM   | 2023-12-12 11:57:14 |
|      796 |          8 | bFgW8t   | 2023-12-12 11:57:15 |
|      802 |          8 | kTBO3A   | 2023-12-12 11:57:15 |
|      808 |          2 | ddXk7y   | 2023-12-12 11:57:15 |
|      809 |          0 | TVo096   | 2023-12-12 11:57:15 |
|      833 |          4 | kIyBrA   | 2023-12-12 11:57:16 |
|      847 |          7 | yyVbXm   | 2023-12-12 11:57:16 |
|      850 |          3 | 3AFDR2   | 2023-12-12 11:57:16 |
|      863 |          7 | lCW8iA   | 2023-12-12 11:57:16 |
|      867 |          8 | 5uaeUU   | 2023-12-12 11:57:16 |
|      868 |          0 | 1k2nTi   | 2023-12-12 11:57:17 |
|      876 |          0 | szIt18   | 2023-12-12 11:57:17 |
|      888 |          5 | QbiPc4   | 2023-12-12 11:57:17 |
|      902 |          0 | bIv6Ig   | 2023-12-12 11:57:17 |
|      922 |          6 | ezCXVc   | 2023-12-12 11:57:18 |
|      947 |          6 | F7x4y9   | 2023-12-12 11:57:19 |
|      961 |          2 | 9wh829   | 2023-12-12 11:57:19 |
|      973 |          9 | tHkuRo   | 2023-12-12 11:57:19 |
|      992 |          8 | ynxrWL   | 2023-12-12 11:57:20 |
|     1002 |          0 | MUB0Eg   | 2023-12-12 11:57:20 |
|     1010 |          6 | GacgYp   | 2023-12-12 11:57:20 |
|     1022 |          8 | 4Uo6Qg   | 2023-12-12 11:57:20 |
|     1032 |          8 | cacz5q   | 2023-12-12 11:57:21 |
|     1049 |          7 | I2ctXG   | 2023-12-12 11:57:21 |
|     1060 |          0 | mQil4V   | 2023-12-12 11:57:21 |
|     1095 |          2 | hPO5Ll   | 2023-12-12 11:57:22 |
|     1106 |          0 | YWo2r0   | 2023-12-12 11:57:23 |
|     1118 |          0 | L8Z8pZ   | 2023-12-12 11:57:23 |
|     1125 |          0 | 7j8bln   | 2023-12-12 11:57:23 |
|     1126 |          1 | hLxbcX   | 2023-12-12 11:57:23 |
|     1130 |          5 | ogrtPO   | 2023-12-12 11:57:23 |
|     1138 |          5 | 9mWpum   | 2023-12-12 11:57:23 |
|     1139 |          7 | H6DypF   | 2023-12-12 11:57:23 |
|     1146 |          3 | wr6Y3c   | 2023-12-12 11:57:24 |
|     1163 |          7 | ncKjOh   | 2023-12-12 11:57:24 |
|     1169 |          6 | hNb0p1   | 2023-12-12 11:57:24 |
|     1177 |          1 | AA8hav   | 2023-12-12 11:57:24 |
|     1178 |          8 | nRKL4I   | 2023-12-12 11:57:24 |
|     1182 |          1 | bybmdK   | 2023-12-12 11:57:24 |
|     1193 |          4 | fgig66   | 2023-12-12 11:57:25 |
|     1195 |          4 | gBZOTo   | 2023-12-12 11:57:25 |
|     1198 |          3 | zAAxyg   | 2023-12-12 11:57:25 |
|     1226 |          4 | 4uRfmf   | 2023-12-12 11:57:26 |
|     1240 |          6 | oxNcw3   | 2023-12-12 11:57:26 |
|     1246 |          3 | JSwwyz   | 2023-12-12 11:57:26 |
|     1263 |          2 | P8ezl2   | 2023-12-12 11:57:27 |
|     1273 |          6 | L3sgMX   | 2023-12-12 11:57:27 |
|     1291 |          9 | BqKaj0   | 2023-12-12 11:57:27 |
|     1318 |          7 | OBac16   | 2023-12-12 11:57:28 |
|     1320 |          7 | Lx6TMx   | 2023-12-12 11:57:28 |
|     1324 |          1 | FfZgAV   | 2023-12-12 11:57:28 |
|     1328 |          7 | jBIMGv   | 2023-12-12 11:57:28 |
|     1329 |          1 | 6gE9kW   | 2023-12-12 11:57:28 |
|     1337 |          0 | I750rW   | 2023-12-12 11:57:28 |
|     1339 |          1 | u6NyXw   | 2023-12-12 11:57:28 |
|     1345 |          9 | hfvfAd   | 2023-12-12 11:57:29 |
|     1357 |          4 | fjMqwX   | 2023-12-12 11:57:29 |
|     1374 |          3 | KUU1QV   | 2023-12-12 11:57:29 |
|     1377 |          0 | xwbQxr   | 2023-12-12 11:57:29 |
|     1379 |          3 | MHGc0E   | 2023-12-12 11:57:29 |
|     1385 |          1 | 4OAi5N   | 2023-12-12 11:57:30 |
|     1389 |          0 | 9nz3ZZ   | 2023-12-12 11:57:30 |
|     1395 |          4 | a24MYO   | 2023-12-12 11:57:30 |
|     1409 |          4 | O3GPey   | 2023-12-12 11:57:30 |
|     1410 |          3 | kpawpC   | 2023-12-12 11:57:30 |
|     1420 |          6 | K0tpxC   | 2023-12-12 11:57:31 |
|     1431 |          4 | 6hK6Ng   | 2023-12-12 11:57:31 |
|     1433 |          1 | XazZ6h   | 2023-12-12 11:57:31 |
|     1437 |          1 | fMj2MG   | 2023-12-12 11:57:31 |
|     1443 |          6 | 0CBYm0   | 2023-12-12 11:57:31 |
|     1447 |          6 | e1r5rQ   | 2023-12-12 11:57:31 |
|     1475 |          2 | vhsspA   | 2023-12-12 11:57:32 |
|     1492 |          0 | B3McLW   | 2023-12-12 11:57:32 |
|     1503 |          3 | UWqjS4   | 2023-12-12 11:57:33 |
|     1522 |          4 | qenIjC   | 2023-12-12 11:57:33 |
|     1527 |          2 | vgeMzY   | 2023-12-12 11:57:33 |
|     1532 |          7 | LR0UNs   | 2023-12-12 11:57:33 |
|     1534 |          8 | 2mvSMt   | 2023-12-12 11:57:33 |
|     1552 |          0 | HcReGS   | 2023-12-12 11:57:34 |
|     1555 |          8 | C712dX   | 2023-12-12 11:57:34 |
|     1558 |          2 | NNRTWn   | 2023-12-12 11:57:34 |
|     1570 |          4 | MInHF5   | 2023-12-12 11:57:34 |
|     1586 |          3 | bJH7yV   | 2023-12-12 11:57:35 |
|     1598 |          2 | eRXrxN   | 2023-12-12 11:57:35 |
|     1603 |          7 | rtC2zM   | 2023-12-12 11:57:35 |
|     1637 |          6 | pJNNQ0   | 2023-12-12 11:57:36 |
|     1656 |          6 | 9KwraZ   | 2023-12-12 11:57:37 |
|     1659 |          1 | vUsMeO   | 2023-12-12 11:57:37 |
|     1665 |          5 | ar6Gdd   | 2023-12-12 11:57:37 |
|     1669 |          3 | PVtPcn   | 2023-12-12 11:57:37 |
|     1675 |          9 | C9IrQL   | 2023-12-12 11:57:37 |
|     1682 |          8 | 80JyeK   | 2023-12-12 11:57:37 |
|     1690 |          7 | s9FFsR   | 2023-12-12 11:57:37 |
